,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
540497,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Residential-Tree-Planting-Rebate-Program,text/html,application/xhtml+xml,en,"Residential Tree Planting Rebate Program - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Continue Port Colborne Residential Tree Planting Rebate Program Application Form Application Information First Name Last Name Phone Number Mailing Address City/Town Postal Code Name of Property Owner Phone Number Address for tree to be planted Tree Purchase Information Purchased From Purchase Location (store, nursery, etc.) Purchase Date Purchase Amount Date Planted Tree Information Please Select One Bitternut Hickory Black Maple Black Walnut Blue Beech Bur Oak Butternut Walnut Eastern Cottonwood Eastern Hemlock Eastern Cedar Easter White Pine Ironwood PawPaw Pin Oak Red Maple Red Oak Sassafras Shagbark Hickory Silver Maple Sugar Maple Trembling Aspen Tulip Tree White Birch White Oak White Spruce Please upload an image of your receipt Browse… Hidden Upload Button Allowed extensions jpg, jpeg, gif, png, tif Continue Save Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
540513,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Error/JavaScript,text/html,,,
540515,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Error/Cookies,text/html,,,
540523,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Residential-Ultra-Low-Flow-Toilet-Rebate,text/html,application/xhtml+xml,en,"Residential Ultra Low Flow Toilet Rebate - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Continue Port Colborne Residential Ultra Low Flow Toilet Rebate Program Application Form Application Information First Name Last Name Phone Number Mailing Address City/Town Postal Code Address of Toilet Installation City/Town Postal Code Are you on a private well? Are you on a private well? Yes No Number of Toilets at Address Number of Persons at Address Toilet Installation ***Port Colborne City Approved Toilets Only*** Manufacture Model Name Flush Capacity(s) Purchase Date (must be after January 1, 2019) Purchase Location (store) Install Date Who did the installation? Who did the installation? Installed by a Plumber/Contractor Did it Myself Please upload an image of your receipt Browse… Hidden Upload Button Allowed extensions jpg, jpeg, gif, png, tif Continue Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
540525,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Street-Light-Outage,text/html,application/xhtml+xml,en,"Street Light Outage - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Submit Report an outage Please select a type of lighting that is not working correctly Select a problem type from the list or choose other to enter your own. Street Light Out Traffic Light Out Pedestrian Crossing Light Out Other Would you like to provide an image of the problem? Would you like to provide an image of the problem? Yes No Where is the problem located? (Nearest address or intersection)   Name Email Address Phone Number Would you like to be contacted? Would you like to be contacted? Yes No Would you like to leave any additional comments? Would you like to leave any additional comments? Yes No The City of Port Colborne is subject to the provisions of the Municipal Freedom of Information and Protection of Privacy Act (MFIPPA). MFIPPA requires that a local government protect the privacy of an individual's personal information that exists in its records and that it follow rules regarding the collection, retention, use, disclosure and disposal of personal information in its custody or control. Notice of Collection: Personal information on this form is collected under the authority of the Municipal Act, 2001 and will be used for the purposes of administering public inquiries. Questions related to the collection of this information should be directed to the Customer Service Supervisor: customerservice@portcolborne.ca, 66 Charlotte Street, Port Colborne ON L3K 3C8, 905-835-2900. Submit Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
540526,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Municipal-Consent-Permit,text/html,application/xhtml+xml,en,"Municipal Consent Permit - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change HomeCity HallApplications, Licences and PermitsMunicipal Consent Permits Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Submit Municipal Consent Permit Application Form This permit is needed for all work taking place within the City of Port Colborne’s Right-of-Way. All work applications will be reviewed with the design standards and bylaws at the City of Port Colborne. All applications will be considered; but, not all requests will be approved. Third party contractors can operate within the City of Port Colborne’s Right-of-Way depending on the work involved. Or the City can provide typical services at the request of the applicant. Please fill out the permit application below to be considered. Applicant Information In this section please provide your personal information including you first name, last name, and phone number. First Name Last Name Phone Number Email Address of Applicant In this section please provide your address. Address City Address of Intended Work (if different from applicant) Please fill out this section only if the address of intended work is different from the address of applicant. If you choose to fill out this section please provide the information for your address of intended work including the municipal address and roll number. Address Roll Number Please note that proof of insurance, WSIB, and Traffic Control Plan (Consult Book 7 of the Ontario Traffic Manual) will be required from you or your contractor before the permit will be administered. Contractor Information (if applicable) Please fill out this section if the contactor information is applicable to your permit. If you choose to fill out this section please provide the contractor information including the company name, company address, and phone number. Company Name Address Phone Number Description of Work In this section please provide a brief description of the work to be done. Also, if necessary, please provide a plan outlining the work to be completed. Description of Work  Insert description here. Upload supporting documents (e.g. insurance forms, WSIB, traffic plan etc.) Browse… Hidden Upload Button Allowed extensions pdf, doc, docx, xls, xlsx, jpg, jpeg, gif, png, tif Applicant Confirmation In this section please provide the intended date of construction and your signature. Intended Date of Construction Applicant Signature Clear Please note that in consideration of any permit issued, with respect to this application, the property owner and their agent hereby agree to observe, keep, perform, and be subject to the regulations and conditions of said permit and indemnify and save harmless the Corporation of The City of Port Colborne against all loss, cost charges, damages, expenses, claims, and demands whatsoever to which it may be liable for reason of anything done or omitted to be done in the construction of the work authorized. Notification must given to the Engineering and Operations Department of the City of Port Colborne a minimum of 72 hours before the commencement of construction. Please contact 905-835-2900 or municipalconsent@portcolborne.ca to schedule an inspection. Submit Save Applications, Licences and Permits Toggle Section Applications, Licences and Permits Menu Building Permits Burn Permits Business Permits and Licences Grant for Non-Profits Planning and Development Applications Municipal Consent Permits Sign Permits View Full City Hall Menu Toggle Section A-Z Services Accessibility Budget and Financial Reporting By-laws Toggle Section By-laws Menu Frequently Requested By-laws Parking Request a Service Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Toggle Section Committees and Boards Menu Accessibility Advisory Committee Active Transportation Advisory Committee Canal Days Committee Committee of Adjustment Downtown Business Improvement Area Board of Management Economic Development Advisory Committee Environmental Advisory Committee Grant Policy Committee Health Services Committee Heritage Port Colborne Library Board Main Street Business Improvement Area Board of Management Port Colborne Historical and Marine Museum Board Property Standards Committee Senior Citizens Advisory Council Social Determinants of Health Advisory Committee - Everyone Matters Contact Us Toggle Section Contact Us Menu Customer Service Request a Service Social Media Council Toggle Section Council Menu Accountability and Transparency Council Meeting Calendar Council Meetings Integrity Commissioner Mayor’s Office Toggle Section Mayor’s Office Menu Birthdays and Anniversaries Reports to Council Speaking Before Council Ward 1 Ward 2 Ward 3 Ward 4 Council Meeting Calendar Freedom of Information Municipal Elections Toggle Section Municipal Elections Menu 2018 Financial Statements for Candidates and Third Party Advertisers 2018 Municipal and School Board Election Results Ward Boundaries News and Notices Toggle Section News and Notices Menu City Hall News Media Releases Public Notices Plans, Reports and Studies Toggle Section Plans, Reports and Studies Menu Building Monthly Reports East Side Employment Lands Economic Development Strategy and Action Plan Nickel Street Storm Sewer Parks and Recreation Master Plan Port Colborne Service Delivery Review Storm Sewer System Infrastructure Needs Study Water Distribution System Infrastructure Needs Study Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
540528,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Groups-and-Organization-Contact-Record-Request,text/html,application/xhtml+xml,en,"Groups and Organization Contact Record Request - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Submit Groups and Organization Contact Record Name of Group/Association Website Email Address (for our files only) Mailing Address: Street Number and Street Name Address line 2 City Province Postal Code Phone Number Do we have permission to give this phone number to the public? Yes No Contact for organization Please choose the category that you wish to be listed under (Choose 1) Please choose the category that you wish to be listed under (Choose 1) Sports and Recreation Arts, Music and Culture Community Group Community Service Club Places of Worship Schools Would you like to receive ongoing news articles and information in regards to Port Colborne and City Hall. Yes No Submit Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
540530,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Sugarloaf-Marina-Slip-Reservations,text/html,application/xhtml+xml,en,"Sugarloaf Marina Slip Reservations - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Submit Sugarloaf Marina Slip Reservation First Name Last Name Email Address Contact Phone Number Address City Province/State Postal/Zip Code Country Vessel Name Boat Type power sail seadoo catamaran houseboat Vessel Length Vessel Width/Beam Vessel Draft Reserve me a slip for Year Month Week Day Arrival Date Departure Date Approximately Time of Arrival morning afternoon evening (night) I would like confirmation via: Phone Email Are you transiting through the Welland Canal Yes No Comments:   Second Vessel In your Party, name Second Vessel in your party, email Second Vessel in your party, phone Second Vessel in your party, address Second Vessel in your party, city Second Vessel in your party, Province/State Second Vessel in your party, Postal/Zip Code Second Vessel in your party, Country Second Vessel Name Second Vessel Boat Type power sail seadoo catamaran houseboat SecondVessel Length Second Vessel Width/Beam Second Vessel Draft Third Vessel In your Party, name Third Vessel in your party, email Third Vessel in your party, phone Third Vessel in your party, address Third Vessel in your party, city Third Vessel in your party, Province/State Third Vessel in your party, Postal/Zip Code Third Vessel in your party, Country Third Vessel Boat Type power sail seadoo catamaran houseboat Third Vessel Length Third Vessel Width/Beam Third Vessel Draft Fourth Vessel In your Party, name Fourth Vessel in your party, email Fourth Vessel in your party, phone Fourth Vessel in your party, address Fourth Vessel in your party, city Fourth Vessel in your party, Province/State Fourth Vessel in your party, Postal/Zip Code Fourth Vessel in your party, country Fourth Vessel Boat Type power sail seadoo catamaran houseboat Fourth Vessel Length Fourth Vessel Width/Beam Fourth Vessel Draft Submit Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
540533,20210402,forms.portcolborne.ca,https://forms.portcolborne.ca/Volunteer-Application,text/html,application/xhtml+xml,en,"Volunteer Application - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Submit City of Port Colborne Volunteer Application Form Name Email Address Address: City Postal Code Cell Phone Home Phone Shirt Size Age (if under 18) Current Place of Work (optional) Previous Volunteer Experience   Please indicate valid certification and/or training you have completed, check all that apply: Please indicate valid certification and/or training you have completed, check all that apply: Smart Serve Police Check (Vulnerable Check) Valid CPR Valid First Aid Other Training Additional Training Smart Serve # Date of Police Check, CPR or First Aid Specify Other Training or Additional Languages Please indicate which event you would like to volunteer for, check all that apply: Please indicate which event you would like to volunteer for, check all that apply: Canal Days Marine Heritage Festival Historical & Marine Museum Roselawn Centre New Year's Eve Family Celebration Arabella's Tea Room Santa Claus Parade Easter Eggstravaganza Public Library Other City Events If you selected Canal Days Marin Heritage Festival Please Indicate your point of interest: Note some areas require certification, heavy lifting, and or standing sitting for long periods of time. Ambassador/Information Liaison Bar Service Bar Backline Service Entrance Gates General Labourer Kids Zone Sponsor Lounge Ticket Booth Sales Volunteer Registration if you selected Canal Days Marine Heritage Festival, please indicate your preference of dates: if you selected Canal Days Marine Heritage Festival, please indicate your preference of dates: Friday Saturday Sunday Monday Time of day Time of day Day Afternoon Evening Signature (parent signature is required if under the age of 18) Clear Date Submit Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
551102,20210409,forms.portcolborne.ca,https://forms.portcolborne.ca/Residential-Tree-Planting-Rebate-Program,text/html,application/xhtml+xml,en,"Residential Tree Planting Rebate Program - City of Port Colborne     Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Cemetery COVID-19 Crime Prevention Emergency Preparedness Environment Fire Services Garbage and Recycling Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Ice Rentals Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Business and Development Building and Construction Business Directory Business Permits and Licences Community Profile Completed Projects Current Projects Invest in Port Colborne Planning and Development Projects and Tenders Real Estate City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Career Opportunities Chestnut Park Affordable Housing Project Commissioner of Oaths Committees and Boards Contact Us Council Council Meeting Calendar Freedom of Information Municipal Elections News and Notices Plans, Reports and Studies Request a Service Request A Service Environment - Tree Rebate Form Environment - Toilet Rebate Form Engineering - Report A Street Light Outage Engineering - Municipal Consent Form Planning/Development - Minor Variance Planning/Development - Pre-Consultation Recreation & Leisure - Contact Record Request Recreation & Leisure - Sugarloaf Marina Slip Reservation Recreation & Leisure - Volunteer Application Tax & Water - Address Change Form Tax & Water - E-Billing Request Form Tax & Water - Pre-Authorized Payment Tax & Water- Pre Authorized Banking Information Change Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu form Builder Continue Port Colborne Residential Tree Planting Rebate Program Application Form Application Information First Name Last Name Phone Number Mailing Address City/Town Postal Code Name of Property Owner Phone Number Address for tree to be planted Tree Purchase Information Purchased From Purchase Location (store, nursery, etc.) Purchase Date Purchase Amount Date Planted Tree Information Please Select One Bitternut Hickory Black Maple Black Walnut Blue Beech Bur Oak Butternut Walnut Eastern Cottonwood Eastern Hemlock Eastern Cedar Easter White Pine Ironwood PawPaw Pin Oak Red Maple Red Oak Sassafras Shagbark Hickory Silver Maple Sugar Maple Trembling Aspen Tulip Tree White Birch White Oak White Spruce Please upload an image of your receipt Browse… Hidden Upload Button Allowed extensions jpg, jpeg, gif, png, tif Continue Save Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience."
551113,20210409,forms.portcolborne.ca,https://forms.portcolborne.ca/Error/JavaScript,text/html,,,
551114,20210409,forms.portcolborne.ca,https://forms.portcolborne.ca/Error/Cookies,text/html,,,
